Respondent ID: Respondent ID,Language: Language,Q1: What is your age?,Q48: What best describes your location?,Q2 Recoded: What is your preferred language?,Q3: How well can you read and write in English?,Q4: Has the general preference for use of English in open source negatively affected your ability to participate?,Q28: Which best describes your employment (paid work) status?,"Q29: In your main job, how often do you contribute to open source communities?","Q44: Do you identify as a person with a dis/ability? For the purpose of this survey we define dis/ability as a long-term physical, mental, intellectual, or sensory impairment which, in interaction with various attitudinal and environmental barriers, hinders your full and effective participation in society on an equal basis with others.","Q49_01: With which racial background(s) do you identify? If multiracial, check all that apply. Asian","Q49_02: With which racial background(s) do you identify? If multiracial, check all that apply. Black","Q49_03: With which racial background(s) do you identify? If multiracial, check all that apply. Hispanic/Latinx","Q49_04: With which racial background(s) do you identify? If multiracial, check all that apply. Native or Indigenous","Q49_05: With which racial background(s) do you identify? If multiracial, check all that apply. Pacific Islander","Q49_06: With which racial background(s) do you identify? If multiracial, check all that apply. White","Q49_07: With which racial background(s) do you identify? If multiracial, check all that apply. Prefer not to answer","Q49_08_None of above the above: With which racial background(s) do you identify? If multiracial, check all that apply. None of the above",Q50_01: What is your gender? Woman,Q50_02: What is your gender? Man,Q50_03: What is your gender? Non-binary / third gender,Q50_04: What is your gender? Prefer not to answer,Q50_05: What is your gender? Other,"Q51: Do you consider yourself to be gender non-conforming, gender diverse, gender variant, or gender expansive?",Q52: Do you consider yourself to be transgender?,Q53_01: What is your sexual orientation? (check all that apply)? Asexual,Q53_02: What is your sexual orientation? (check all that apply)? Bisexual,Q53_03: What is your sexual orientation? (check all that apply)? Gay,Q53_04: What is your sexual orientation? (check all that apply)? Heterosexual or straight,Q53_05: What is your sexual orientation? (check all that apply)? Questioning,Q53_06: What is your sexual orientation? (check all that apply)? Lesbian,Q53_07: What is your sexual orientation? (check all that apply)? Pansexual,Q53_08: What is your sexual orientation? (check all that apply)? Queer,Q53_09: What is your sexual orientation? (check all that apply)? Prefer not to answer,Q53_None_of_the_above: What is your sexual orientation? (check all that apply)? None of the above
12831043749,Chinese,55 to 64 years,South Asia,,Moderately well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12823858697,English,18 to 24 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12824216960,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Self-Employed full or part time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12825410926,English,55 to 64 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12826657190,English,35 to 44 years,Central America and South America and the Caribbean,English,Moderately well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12827203257,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Not at all,Yes,Employed part time,Occasionally,"Yes, I identify as a person with a dis/ability",,,,,,,,,,,Non-binary / third gender,,,Yes,Yes,,,,,,,Pansexual,,,
12827786519,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829490897,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,Gay,,,,,,,
12829498326,English,25 to 34 years,Central America and South America and the Caribbean,English,Moderately well,Yes,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829505630,English,45 to 54 years,Central America and South America and the Caribbean,French,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829511131,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Temporarily not working,,"Yes, I identify as a person with a dis/ability",,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829534853,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829540076,English,55 to 64 years,Central America and South America and the Caribbean,,Not very well,Yes,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829545731,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829556378,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829558786,English,55 to 64 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829568915,English,45 to 54 years,Central America and South America and the Caribbean,English,Very well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,Gay,,,,,,,
12829574231,English,18 to 24 years,Central America and South America and the Caribbean,Spanish,Moderately well,Yes,Temporarily not working,,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12829582813,English,45 to 54 years,Central America and South America and the Caribbean,,Moderately well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,,
12829585397,English,45 to 54 years,Central America and South America and the Caribbean,All other answers,Very well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829588042,English,65 to 74 years,Central America and South America and the Caribbean,English,Very well,No,Retired,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829589638,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Never,No,,,,,,,,,Woman,,,,,No,No,,,,,,,Pansexual,,,
12829591171,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829594193,English,75 years or older,Central America and South America and the Caribbean,Spanish,Very well,No,Retired,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829602128,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829607485,English,18 to 24 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,,,,,,Prefer not to answer,
12829609307,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829614470,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829634172,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829634669,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Never,No,,,,,,,,,Woman,,,,,No,No,,Bisexual,,,,,,,,
12829637004,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Very well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,,
12829639385,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,Yes,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829643211,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829643984,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed part time,Rarely,"Yes, I identify as a person with a dis/ability",,,,,,,,,,Man,,,,No,No,,,,,,,,,Prefer not to answer,
12829645292,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829653707,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829659563,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,Questioning,No,,,,Heterosexual or straight,,,,,,
12829662120,English,45 to 54 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829682389,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829685966,English,25 to 34 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Rarely,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12829703552,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,"Yes, I identify as a person with a dis/ability",,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829717651,English,35 to 44 years,Central America and South America and the Caribbean,,Moderately well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829732089,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,Questioning,No,,,,Heterosexual or straight,Questioning,,,,,
12829758765,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829777026,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829778587,English,18 to 24 years,Central America and South America and the Caribbean,Spanish,Very well,No,Full-time university student,,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12829780532,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829805682,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Self-Employed full or part time,Never,"Yes, I identify as a person with a dis/ability",,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829810495,English,65 to 74 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829823520,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829831329,English,55 to 64 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829849636,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,Bisexual,,,,,,,,
12829884154,English,45 to 54 years,Central America and South America and the Caribbean,,Moderately well,Prefer not to say,Employed part time,Never,"Yes, I identify as a person with a dis/ability",,,,,,,,,Woman,,,,,Prefer not to answer,No,Asexual,,,,,,,,,
12829890256,English,55 to 64 years,Central America and South America and the Caribbean,Spanish,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829895517,English,55 to 64 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829947755,English,45 to 54 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829952779,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829955386,English,45 to 54 years,Central America and South America and the Caribbean,English,,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,,
12829958360,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,Bisexual,,,,,Pansexual,,,
12829959956,English,45 to 54 years,Central America and South America and the Caribbean,Portuguese,Moderately well,Yes,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829964884,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Retired,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829970040,English,45 to 54 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830053656,English,18 to 24 years,Central America and South America and the Caribbean,Spanish,Very well,No,Full-time university student,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830067186,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,Yes,No,,,,Heterosexual or straight,,,,,,
12830076013,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830104409,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Not very well,Yes,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830156119,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830161756,English,55 to 64 years,Central America and South America and the Caribbean,English,Very well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830163853,English,35 to 44 years,Central America and South America and the Caribbean,English,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,,
12830165971,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Moderately well,Yes,Self-Employed full or part time,Never,"Yes, I identify as a person with a dis/ability",,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830172785,English,45 to 54 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830176281,English,35 to 44 years,Central America and South America and the Caribbean,,Moderately well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830180686,English,55 to 64 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Temporarily not working,,"Yes, I identify as a person with a dis/ability",,,,,,,,,,,Non-binary / third gender,,,Questioning,Yes,,,,,,Lesbian,,,,
12830225131,English,55 to 64 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830265896,English,55 to 64 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830270578,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830419272,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830477118,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830521658,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830561041,English,55 to 64 years,Central America and South America and the Caribbean,Spanish,Very well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830663376,English,25 to 34 years,Central America and South America and the Caribbean,English,Moderately well,No,Temporarily not working,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830685769,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830812514,English,25 to 34 years,Central America and South America and the Caribbean,,Very well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830893224,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Moderately well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12830942478,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,,,,,,Prefer not to answer,
12830946716,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Not very well,Yes,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12831601834,English,35 to 44 years,Central America and South America and the Caribbean,,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12831642595,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Occasionally,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12831693204,English,65 to 74 years,Central America and South America and the Caribbean,Spanish,Moderately well,Yes,Retired,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12831704222,English,45 to 54 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Occasionally,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12831716446,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Occasionally,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12831738503,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Moderately well,Yes,Full-time high school student,,"Yes, I identify as a person with a dis/ability",,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12831973279,English,18 to 24 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12832005754,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12832060189,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12832607827,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12832650248,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Other,,No,,,,,,,,,Woman,,,,,No,No,,,Gay,,,Lesbian,,,,
12832964213,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12833480050,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12834158798,English,65 to 74 years,Central America and South America and the Caribbean,English,Very well,No,Retired,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12834236520,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12834736415,English,35 to 44 years,Central America and South America and the Caribbean,English,Moderately well,No,Employed full time,Rarely,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,Prefer not to answer,
12835048511,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Self-Employed full or part time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12835141002,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Employed full time,Never,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12835669758,English,35 to 44 years,Central America and South America and the Caribbean,Portuguese,Moderately well,No,Employed part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12835825421,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed part time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,Questioning,,,,,
12837160121,English,55 to 64 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12837402568,English,35 to 44 years,Central America and South America and the Caribbean,English,Very well,No,Employed full time,Occasionally,No,,,,,,,,,Woman,,,,,No,No,,,,,,,,,Prefer not to answer,
12841562384,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Full-time university student,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12841663835,English,45 to 54 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed part time,Rarely,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12842718348,English,18 to 24 years,Central America and South America and the Caribbean,Spanish,Very well,Yes,Full-time university student,,No,,,,,,,,,,Man,,,,Questioning,No,,Bisexual,,,,,,,,
12844039549,English,25 to 34 years,Central America and South America and the Caribbean,English,Very well,No,Self-Employed full or part time,Never,No,,,,,,,,,,,Non-binary / third gender,,,Yes,Questioning,,,,,,Lesbian,,,,
12845121470,English,25 to 34 years,Central America and South America and the Caribbean,Spanish,Very well,No,Full-time university student,,No,,,,,,,,,Woman,,,,,No,No,,,,Heterosexual or straight,,,,,,
12846661303,English,55 to 64 years,Central America and South America and the Caribbean,Spanish,Very well,No,Other,,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12849285928,English,35 to 44 years,Central America and South America and the Caribbean,Spanish,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12855292283,English,25 to 34 years,Central America and South America and the Caribbean,Portuguese,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829489764,English,25 to 34 years,Central Asia,English,Very well,No,Employed full time,Frequently,No,,,,,,,,,,Man,,,,No,No,,,,Heterosexual or straight,,,,,,
12829550778,English,35 to 44 years,Central Asia,English,Very well,No,Employed full time,Occasionally,No,,,,,,,,,,Man,,,,Prefer not to answer,No,,,,Heterosexual or straight,,,,,,
